,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
0,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 18:00:42,4.5,19872.0,252.0,Não
1,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 17:56:11,2.0,8832.0,261.0,Não
2,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 17:22:18,15.0,66240.0,207.0,Não
3,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 16:57:41,1.5,6624.0,259.5,Não
4,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 16:14:40,2.5,11040.0,252.0,Não
5,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 16:05:37,1.5,6624.0,250.0,Não
6,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 15:46:20,4.95,21840.0,250.0,Não
7,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,30/12/2019 15:45:13,5.0,21840.0,250.0,Não
8,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 15:32:16,1.5,6624.0,252.0,Não
9,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 14:50:39,5.0,22080.0,260.0,Não
10,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 14:26:20,1.0,4416.0,256.5,Não
11,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 14:25:00,1.0,4416.0,258.0,Não
12,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 14:19:32,1.0,4416.0,260.0,Não
13,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 14:06:20,0.5,2208.0,257.0,Não
14,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,30/12/2019 14:03:10,1.0,4416.0,258.0,Não
15,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,30/12/2019 14:00:53,0.5,2208.0,257.0,Não
16,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,30/12/2019 13:52:04,1.0,4416.0,257.0,Não
17,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,30/12/2019 13:51:51,2.0,8832.0,255.0,Não
18,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 11:24:31,5.0,22080.0,261.0,Não
19,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,30/12/2019 09:47:35,1.0,4416.0,251.0,Não
20,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 16:29:16,4.95,21839.999,200.0,Não
21,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 12:11:11,2.0,8832.0,250.0,Não
22,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 10:38:13,2.0,8832.0,248.0,Não
23,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 10:28:25,2.0,8832.0,253.0,Não
24,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,27/12/2019 10:11:02,1.0,4416.0,249.88,Não
25,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 10:08:46,2.0,8832.0,251.0,Não
26,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/12/2019 09:48:44,3.0,13248.0,255.0,Não
27,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,26/12/2019 13:29:37,4.0,17664.0,250.0,Não
28,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,26/12/2019 13:22:49,1.0,4416.0,250.0,Não
29,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,26/12/2019 13:22:34,1.0,4416.0,249.0,Não
30,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,26/12/2019 13:19:07,2.0,8832.0,249.0,Não
31,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,26/12/2019 13:18:53,2.0,8832.0,252.0,Não
32,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,26/12/2019 12:05:02,5.0,21840.0,225.0,Não
33,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,23/12/2019 17:00:44,1.0,4416.0,224.5,Não
34,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,23/12/2019 16:03:18,1.0,4416.0,228.0,Não
35,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,23/12/2019 15:19:07,1.0,4416.0,224.5,Não
36,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,23/12/2019 14:49:28,1.0,4416.0,225.0,Não
37,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,23/12/2019 14:41:34,1.5,6624.0,224.5,Não
38,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,20/12/2019 11:18:49,1.0,4416.0,220.0,Não
39,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,19/12/2019 12:52:43,3.0,13248.0,225.0,Não
40,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,19/12/2019 09:54:14,3.0,13248.0,220.0,Não
41,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,18/12/2019 11:07:23,1.5,6624.0,217.0,Não
42,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,18/12/2019 09:54:31,1.5,6624.0,216.0,Não
43,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,17/12/2019 18:43:37,2.0,8832.0,215.0,Não
44,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,17/12/2019 17:28:40,2.0,8832.0,216.0,Não
45,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,17/12/2019 14:22:43,3.0,13248.0,219.0,Não
46,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,17/12/2019 13:36:42,3.0,13248.0,220.0,Não
47,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,16/12/2019 11:01:23,1.0,4416.0,217.5,Não
48,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 18:00:55,1.0,4416.0,219.0,Não
49,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/12/2019 16:50:49,3.0,13248.0,219.0,Não
50,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,12/12/2019 14:35:03,2.0,8736.0,190.0,Não
51,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,12/12/2019 12:36:49,5.0,21840.0,197.0,Não
52,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,12/12/2019 12:36:04,5.0,21840.0,190.0,Não
53,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,11/12/2019 18:17:31,3.5,15456.0,220.5,Não
54,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,11/12/2019 10:28:51,5.0,21840.0,187.0,Não
55,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,10/12/2019 17:25:23,5.0,21840.0,187.0,Não
56,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,10/12/2019 15:10:08,3.0,13248.0,216.0,Não
57,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,06/12/2019 09:58:09,10.0,43680.0,160.0,Não
58,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,06/12/2019 09:57:31,10.0,44160.0,190.0,Não
59,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,06/12/2019 09:43:29,10.0,44160.0,209.5,Não
60,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 18:09:50,7.0,30912.0,215.0,Não
61,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 17:53:59,7.0,30912.0,209.5,Não
62,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 17:42:28,3.0,13248.0,209.0,Não
63,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 17:26:20,4.0,17664.0,200.0,Não
64,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 17:25:28,6.0,26496.0,200.0,Não
65,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 17:24:43,4.0,17472.0,170.0,Não
66,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 17:22:53,6.0,26208.0,170.0,Não
67,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 17:18:19,5.0,22080.0,208.0,Não
68,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,05/12/2019 17:13:41,10.0,43680.0,170.0,Não
69,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 16:41:06,5.0,22080.0,210.0,Não
70,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 16:16:38,10.0,44160.0,200.0,Não
71,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/12/2019 15:51:49,7.0,30912.0,200.0,Não
72,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/12/2019 17:02:27,3.0,13104.0,173.5,Não
73,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/12/2019 15:01:07,5.0,21840.0,185.61,Não
74,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/12/2019 15:00:28,5.0,21840.0,170.0,Não
75,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:08:10,3.0,13248.0,203.0,Não
76,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/12/2019 11:07:21,3.0,13104.0,173.0,Não
77,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:59:28,2.5,11040.0,206.0,Não
78,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:59:27,5.0,22080.0,206.0,Não
79,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 11:25:06,5.0,22080.0,206.0,Não
80,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/12/2019 10:06:51,10.0,44160.0,210.0,Não
81,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,03/12/2019 18:35:12,5.0,22080.0,209.0,Não
82,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,03/12/2019 18:23:02,3.9,17035.2,180.0,Não
83,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,03/12/2019 17:44:28,3.0,13104.0,179.0,Não
84,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Balcão,03/12/2019 17:39:17,2.0,8736.0,179.0,Não
85,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,02/12/2019 17:17:58,1.48,6552.002,208.0,Não
86,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,02/12/2019 17:17:10,1.5,6552.0,180.0,Não
87,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,02/12/2019 11:05:37,10.0,44160.0,210.0,Não
88,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,02/12/2019 10:44:57,5.0,22080.0,210.0,Não
89,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,29/11/2019 16:45:51,1.0,4416.0,212.0,Não
90,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,29/11/2019 16:29:00,2.0,8832.0,212.5,Não
91,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,29/11/2019 16:00:23,2.0,8832.0,212.5,Não
92,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,29/11/2019 15:59:54,2.0,8832.0,212.5,Não
93,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,29/11/2019 15:33:32,2.0,8736.0,185.0,Não
94,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,28/11/2019 17:22:13,3.0,13248.0,133.0,Não
95,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,28/11/2019 11:26:35,1.0,4416.0,210.0,Não
96,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,28/11/2019 10:27:18,1.2,5299.2,207.0,Não
97,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,28/11/2019 09:41:56,5.0,21840.0,174.0,Não
98,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/11/2019 17:41:43,6.0,26496.0,210.0,Não
99,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 14:30:50,3.0,13104.0,182.0,Não
100,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 12:42:21,2.0,8736.0,182.0,Não
101,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,27/11/2019 12:34:05,2.0,8736.0,182.0,Não
102,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,27/11/2019 11:50:02,4.95,21840.0,208.0,Não
103,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,26/11/2019 15:54:45,1.0,4416.0,210.5,Não
104,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,26/11/2019 11:32:05,5.0,22080.0,212.0,Não
105,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 18:21:45,4.0,17664.0,212.0,Não
106,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 17:45:49,0.5,2208.0,211.0,Não
107,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,25/11/2019 14:57:38,0.25,1092.0,206.0,Não
108,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 12:05:25,1.0,4416.0,216.0,Não
109,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 10:52:45,1.5,6624.0,216.0,Não
110,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,14/11/2019 10:47:40,2.0,8832.0,216.0,Não
111,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:34:41,1.0,4416.0,215.0,Não
112,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:07:58,1.0,4416.0,215.0,Não
113,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 16:02:45,1.0,4416.0,216.0,Não
114,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 15:54:30,1.0,4416.0,216.0,Não
115,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 15:52:20,3.0,13248.0,215.0,Não
116,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 15:21:34,1.0,4416.0,214.0,Não
117,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,13/11/2019 14:45:28,4.0,17664.0,215.0,Não
118,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:38:21,1.0,4416.0,216.0,Não
119,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:37:23,1.0,4416.0,216.0,Não
120,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,13/11/2019 14:31:50,1.0,4416.0,215.0,Não
121,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,12/11/2019 17:36:33,2.0,8832.0,218.0,Não
122,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,12/11/2019 11:27:37,1.0,4416.0,218.0,Não
123,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,05/11/2019 14:35:38,6.0,26496.0,208.0,Não
124,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/11/2019 17:56:11,5.4,23587.2,184.0,Não
125,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,04/11/2019 15:54:38,1.0,4416.0,205.0,Não
126,SE CON SEM JAN/20 JUN/20 - Preço Fixo,Boleta,04/11/2019 11:59:47,10.0,43680.0,175.0,Não
127,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:43:08,5.0,22080.0,200.0,Não
128,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:30:56,3.0,13248.0,200.0,Não
129,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 17:25:05,2.0,8832.0,210.0,Não
130,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 16:46:04,3.0,13248.0,210.0,Não
131,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Boleta,01/11/2019 15:46:36,1.0,4416.0,210.0,Não
132,SE CON SEM JUL/20 DEZ/20 - Preço Fixo,Balcão,01/11/2019 15:25:34,1.0,4416.0,210.0,Não
